date,state,city,lat,lon,priceMax,priceMin,priceMod,quantity,year
01-01-1996,MS,LASALGAON,20.1491422,74.2326058,257,160,226,225063,1996
01-02-1996,MS,LASALGAON,20.1491422,74.2326058,229,133,186,196164,1996
01-03-1996,MS,LASALGAON,20.1491422,74.2326058,274,155,243,178992,1996
01-04-1996,MS,LASALGAON,20.1491422,74.2326058,279,136,254,192592,1996
01-05-1996,MS,LASALGAON,20.1491422,74.2326058,312,154,269,237574,1996
01-06-1996,MS,LASALGAON,20.1491422,74.2326058,413,229,367,175308,1996
01-07-1996,MS,LASALGAON,20.1491422,74.2326058,406,229,368,156282,1996
01-08-1996,MS,LASALGAON,20.1491422,74.2326058,388,164,340,173892,1996
01-09-1996,MS,LASALGAON,20.1491422,74.2326058,363,145,317,138648,1996
01-10-1996,MS,LASALGAON,20.1491422,74.2326058,560,160,492,149113,1996
01-11-1996,MS,LASALGAON,20.1491422,74.2326058,498,138,376,96295,1996
01-12-1996,MS,LASALGAON,20.1491422,74.2326058,451,138,385,240615,1996
01-01-1997,MS,LASALGAON,20.1491422,74.2326058,323,126,290,241225,1997
01-02-1997,MS,LASALGAON,20.1491422,74.2326058,305,134,271,229550,1997
01-03-1997,MS,LASALGAON,20.1491422,74.2326058,310,138,273,130885,1997
01-04-1997,MS,LASALGAON,20.1491422,74.2326058,240,149,214,223608,1997
01-05-1997,MS,LASALGAON,20.1491422,74.2326058,238,123,213,251132,1997
01-06-1997,MS,LASALGAON,20.1491422,74.2326058,237,64,195,138178,1997
01-07-1997,MS,LASALGAON,20.1491422,74.2326058,225,37,168,235057,1997
01-07-1997,MS,NIPHAD,20.0799646,74.1093141,161,47,133,25587,1997
01-07-1997,MS,PIMPALGAON,20.1699678,73.9873787,225,92,151,174521,1997
01-07-1997,MS,SAIKHEDA,22.962215,78.5831181,193,80,168,36918,1997
01-07-1997,MS,SINNAR,19.8530593,74.0006328,161,34,121,38022,1997
01-08-1997,MS,LASALGAON,20.1491422,74.2326058,257,43,210,235143,1997
01-08-1997,MS,NIPHAD,20.0799646,74.1093141,230,78,197,17456,1997
01-08-1997,MS,PIMPALGAON,20.1699678,73.9873787,256,121,201,143686,1997
01-08-1997,MS,SAIKHEDA,22.962215,78.5831181,219,95,194,38850,1997
01-08-1997,MS,SINNAR,19.8530593,74.0006328,215,21,173,34032,1997
01-09-1997,MS,LASALGAON,20.1491422,74.2326058,318,35,241,252960,1997
01-09-1997,MS,NIPHAD,20.0799646,74.1093141,274,108,234,14054,1997
01-09-1997,MS,PIMPALGAON,20.1699678,73.9873787,313,136,260,194398,1997
01-09-1997,MS,SAIKHEDA,22.962215,78.5831181,270,97,238,27000,1997
01-09-1997,MS,SINNAR,19.8530593,74.0006328,271,16,230,29613,1997
01-10-1997,MS,LASALGAON,20.1491422,74.2326058,412,45,331,208213,1997
01-10-1997,MS,NIPHAD,20.0799646,74.1093141,389,123,318,7170,1997
01-10-1997,MS,PIMPALGAON,20.1699678,73.9873787,413,251,345,103984,1997
01-10-1997,MS,SAIKHEDA,22.962215,78.5831181,376,129,315,23148,1997
01-10-1997,MS,SINNAR,19.8530593,74.0006328,352,31,301,17345,1997
01-11-1997,MS,LASALGAON,20.1491422,74.2326058,852,117,711,145358,1997
01-11-1997,MS,NIPHAD,20.0799646,74.1093141,720,243,638,1965,1997
01-11-1997,MS,PIMPALGAON,20.1699678,73.9873787,861,383,655,123900,1997
01-11-1997,MS,SAIKHEDA,22.962215,78.5831181,641,240,587,6468,1997
01-11-1997,MS,SINNAR,19.8530593,74.0006328,634,74,496,6733,1997
01-12-1997,MS,LASALGAON,20.1491422,74.2326058,1144,118,837,106968,1997
01-12-1997,MS,PIMPALGAON,20.1699678,73.9873787,1255,415,881,113545,1997
01-12-1997,MS,SAIKHEDA,22.962215,78.5831181,559,92,329,1320,1997
01-12-1997,MS,SINNAR,19.8530593,74.0006328,1003,143,708,12228,1997
01-01-1998,MS,CHAKAN,18.7602664,73.8630346,1633,333,975,4615,1998
01-01-1998,MS,LASALGAON,20.1491422,74.2326058,1447,225,1037,125731,1998
01-01-1998,MS,LONAND,18.041706,74.1861821,1640,910,1340,9800,1998
01-01-1998,MS,MANMAD,20.2511789,74.4366016,1361,375,972,48360,1998
01-01-1998,MS,PIMPALGAON,20.1699678,73.9873787,1594,607,1140,112597,1998
01-01-1998,MS,SAIKHEDA,22.962215,78.5831181,1488,364,802,7656,1998
01-01-1998,MS,SINNAR,19.8530593,74.0006328,1538,223,1081,35418,1998
01-02-1998,MS,CHAKAN,18.7602664,73.8630346,1142,175,775,26300,1998
01-02-1998,MS,LASALGAON,20.1491422,74.2326058,1126,267,920,152960,1998
01-02-1998,MS,LONAND,18.041706,74.1861821,1053,438,731,16250,1998
01-02-1998,MS,MANMAD,20.2511789,74.4366016,1048,351,828,63165,1998
01-02-1998,MS,NIPHAD,20.0799646,74.1093141,878,163,750,3531,1998
01-02-1998,MS,PIMPALGAON,20.1699678,73.9873787,1151,581,919,186566,1998
01-02-1998,MS,SAIKHEDA,22.962215,78.5831181,1024,472,765,15704,1998
01-02-1998,MS,SINNAR,19.8530593,74.0006328,1076,221,888,58060,1998
01-03-1998,GUJ,BHAVNAGAR,21.7644725,72.1519304,459,309,423,190900,1998
01-03-1998,MS,CHAKAN,18.7602664,73.8630346,419,184,331,130900,1998
01-03-1998,MS,LASALGAON,20.1491422,74.2326058,486,152,417,281027,1998
01-03-1998,MS,LONAND,18.041706,74.1861821,397,293,355,75000,1998
01-03-1998,MS,MANMAD,20.2511789,74.4366016,510,231,405,129141,1998
01-03-1998,MS,NIPHAD,20.0799646,74.1093141,507,163,463,11450,1998
01-03-1998,MS,PIMPALGAON,20.1699678,73.9873787,535,326,454,249063,1998
01-03-1998,MS,SAIKHEDA,22.962215,78.5831181,474,303,387,25545,1998
01-03-1998,MS,SINNAR,19.8530593,74.0006328,414,74,359,40010,1998
01-04-1998,GUJ,BHAVNAGAR,21.7644725,72.1519304,299,187,260,92000,1998
01-04-1998,GUJ,MAHUVA,21.0902193,71.7563169,299,181,256,251800,1998
01-04-1998,MS,CHAKAN,18.7602664,73.8630346,281,199,253,36750,1998
01-04-1998,MS,LASALGAON,20.1491422,74.2326058,318,76,258,119035,1998
01-04-1998,MS,LONAND,18.041706,74.1861821,290,255,265,25000,1998
01-04-1998,MS,MANMAD,20.2511789,74.4366016,275,142,217,50600,1998
01-04-1998,MS,NIPHAD,20.0799646,74.1093141,304,67,237,3900,1998
01-04-1998,MS,PIMPALGAON,20.1699678,73.9873787,316,166,235,36792,1998
01-04-1998,MS,SAIKHEDA,22.962215,78.5831181,269,156,225,13190,1998
01-04-1998,MS,SINNAR,19.8530593,74.0006328,272,38,227,11150,1998
01-05-1998,GUJ,BHAVNAGAR,21.7644725,72.1519304,325,150,200,2500,1998
01-05-1998,GUJ,MAHUVA,21.0902193,71.7563169,331,199,268,99975,1998
01-05-1998,MS,CHAKAN,18.7602664,73.8630346,382,208,337,19785,1998
01-05-1998,MS,LASALGAON,20.1491422,74.2326058,381,97,321,233819,1998
01-05-1998,MS,LONAND,18.041706,74.1861821,406,325,375,5000,1998
01-05-1998,MS,MANMAD,20.2511789,74.4366016,318,181,278,60430,1998
01-05-1998,MS,NIPHAD,20.0799646,74.1093141,340,135,298,32315,1998
01-05-1998,MS,PIMPALGAON,20.1699678,73.9873787,381,207,297,231145,1998
01-05-1998,MS,SAIKHEDA,22.962215,78.5831181,337,216,295,32779,1998
01-05-1998,MS,SINNAR,19.8530593,74.0006328,343,50,301,25018,1998
01-06-1998,GUJ,MAHUVA,21.0902193,71.7563169,490,327,435,8679,1998
01-06-1998,MS,CHAKAN,18.7602664,73.8630346,699,256,619,16790,1998
01-06-1998,MS,LASALGAON,20.1491422,74.2326058,703,158,583,272471,1998
01-06-1998,MS,LONAND,18.041706,74.1861821,607,483,547,860,1998
01-06-1998,MS,MANMAD,20.2511789,74.4366016,625,292,531,71217,1998
01-06-1998,MS,NIPHAD,20.0799646,74.1093141,610,294,549,30774,1998
01-06-1998,MS,PIMPALGAON,20.1699678,73.9873787,682,435,576,188485,1998
01-06-1998,MS,SAIKHEDA,22.962215,78.5831181,744,346,637,24137,1998
01-06-1998,MS,SINNAR,19.8530593,74.0006328,719,112,622,25847,1998
01-07-1998,GUJ,MAHUVA,21.0902193,71.7563169,805,453,751,13885,1998
01-07-1998,MS,CHAKAN,18.7602664,73.8630346,950,439,876,17200,1998
01-07-1998,MS,LASALGAON,20.1491422,74.2326058,932,263,844,158223,1998
01-07-1998,MS,LONAND,18.041706,74.1861821,870,680,775,425,1998
01-07-1998,MS,MANMAD,20.2511789,74.4366016,896,588,833,25923,1998
01-07-1998,MS,NIPHAD,20.0799646,74.1093141,897,590,840,11525,1998
01-07-1998,MS,PIMPALGAON,20.1699678,73.9873787,935,691,870,100632,1998
01-07-1998,MS,SAIKHEDA,22.962215,78.5831181,881,549,833,12236,1998
01-07-1998,MS,SINNAR,19.8530593,74.0006328,907,330,840,17898,1998
01-08-1998,GUJ,MAHUVA,21.0902193,71.7563169,1342,743,1032,4190,1998
01-08-1998,MS,CHAKAN,18.7602664,73.8630346,1603,459,1444,8500,1998
01-08-1998,MS,LASALGAON,20.1491422,74.2326058,1459,332,1343,112556,1998
01-08-1998,MS,LONAND,18.041706,74.1861821,1250,667,1083,650,1998
01-08-1998,MS,MANMAD,20.2511789,74.4366016,1427,738,1344,19657,1998
01-08-1998,MS,NIPHAD,20.0799646,74.1093141,1460,953,1373,15677,1998
01-08-1998,MS,PIMPALGAON,20.1699678,73.9873787,1468,1129,1385,91603,1998
01-08-1998,MS,SAIKHEDA,22.962215,78.5831181,1485,1029,1267,7676,1998
01-08-1998,MS,SINNAR,19.8530593,74.0006328,1463,215,1317,17512,1998
01-09-1998,GUJ,MAHUVA,21.0902193,71.7563169,1594,888,1334,1948,1998
01-09-1998,MS,CHAKAN,18.7602664,73.8630346,2042,1017,1850,3350,1998
01-09-1998,MS,LASALGAON,20.1491422,74.2326058,2001,386,1908,100767,1998
01-09-1998,MS,LONAND,18.041706,74.1861821,1583,1267,1400,1350,1998
01-09-1998,MS,MANMAD,20.2511789,74.4366016,1792,1219,1684,9212,1998
01-09-1998,MS,NIPHAD,20.0799646,74.1093141,2038,1045,1935,13485,1998
01-09-1998,MS,PIMPALGAON,20.1699678,73.9873787,1952,1610,1862,79488,1998
01-09-1998,MS,SAIKHEDA,22.962215,78.5831181,1864,1303,1761,3325,1998
01-09-1998,MS,SINNAR,19.8530593,74.0006328,2024,396,1779,8250,1998
01-10-1998,GUJ,BHAVNAGAR,21.7644725,72.1519304,2250,1000,1250,150,1998
01-10-1998,GUJ,MAHUVA,21.0902193,71.7563169,1996,1233,1607,1128,1998
01-10-1998,MS,CHAKAN,18.7602664,73.8630346,2463,1050,1725,518,1998
01-10-1998,MS,LASALGAON,20.1491422,74.2326058,2954,500,2632,40024,1998
01-10-1998,MS,LONAND,18.041706,74.1861821,2533,1400,1833,2250,1998
01-10-1998,MS,MANMAD,20.2511789,74.4366016,2638,800,2069,1570,1998
01-10-1998,MS,NIPHAD,20.0799646,74.1093141,3365,1113,3027,4261,1998
01-10-1998,MS,PIMPALGAON,20.1699678,73.9873787,3051,2197,2754,14571,1998
01-10-1998,MS,SAIKHEDA,22.962215,78.5831181,2925,1900,2398,266,1998
01-10-1998,MS,SINNAR,19.8530593,74.0006328,2863,288,1874,530,1998
01-11-1998,GUJ,BHAVNAGAR,21.7644725,72.1519304,1900,1500,1700,300,1998
01-11-1998,GUJ,MAHUVA,21.0902193,71.7563169,1452,693,1135,5125,1998
01-11-1998,MS,CHAKAN,18.7602664,73.8630346,1779,500,1133,740,1998
01-11-1998,MS,LASALGAON,20.1491422,74.2326058,2080,245,1689,49798,1998
01-11-1998,MS,LONAND,18.041706,74.1861821,1988,1275,1638,10500,1998
01-11-1998,MS,MANMAD,20.2511789,74.4366016,1708,890,1452,9300,1998
01-11-1998,MS,PIMPALGAON,20.1699678,73.9873787,2061,892,1513,61590,1998
01-11-1998,MS,SINNAR,19.8530593,74.0006328,1697,150,1233,825,1998
01-12-1998,GUJ,BHAVNAGAR,21.7644725,72.1519304,1168,883,1041,75770,1998
01-12-1998,GUJ,MAHUVA,21.0902193,71.7563169,1132,788,982,35903,1998
01-12-1998,MS,CHAKAN,18.7602664,73.8630346,1385,344,925,2237,1998
01-12-1998,MS,LASALGAON,20.1491422,74.2326058,1152,442,1069,153905,1998
01-12-1998,MS,LONAND,18.041706,74.1861821,1375,925,1200,12000,1998
01-12-1998,MS,MANMAD,20.2511789,74.4366016,1162,767,1055,88400,1998
01-12-1998,MS,PIMPALGAON,20.1699678,73.9873787,1180,847,1069,172317,1998
01-12-1998,MS,SINNAR,19.8530593,74.0006328,1219,219,1013,15600,1998
01-01-1999,GUJ,BHAVNAGAR,21.7644725,72.1519304,523,447,486,393650,1999
01-01-1999,GUJ,MAHUVA,21.0902193,71.7563169,553,393,477,73760,1999
01-01-1999,MS,CHAKAN,18.7602664,73.8630346,681,157,479,8900,1999
01-01-1999,MS,LASALGAON,20.1491422,74.2326058,545,310,498,236001,1999
